"device_id","eui_id","platform","category","lat","lng","altitude","ETH_dist"
16,"12_12","IMST + Rpi"," IMST + Rpi",47.3133,8.52358,451,7.25904765053922
45,"becompany-zh-gw",NA,NA,47.3898,8.51501,NA,2.84301487139815
267,"eui-0001fcc23d0e10fa","LORIX One"," LORIX",47.2319,8.66722,17,18.4527830087421
271,"eui-0002fcc23d0e25b3","LORIX One"," LORIX",47.3725,8.53014,440,1.37066115178033
280,"eui-000800ffff4a0bdd","MultiTech"," MultiTech",47.4968,8.72972,10,19.1555040962618
402,"eui-008000000000ba53","MultiTech"," MultiTech",47.3836,8.4956,410,3.97203803446683
649,"eui-11884455bb778811","R&D Single Channel Pycom"," Pycom",47.3604,8.71551,NA,12.7932322895369
948,"eui-240ac4fffe00bd84",NA,NA,47.3133,8.52358,325,7.25904765053922
1021,"eui-353530322e005000",NA,NA,47.3853,8.53863,398,1.170824384131
1294,"eui-74da38fffe3ebe40","linux"," Linux",47.3647,8.46308,600,6.47984638103711
1665,"eui-b827ebfffe0386f0","IMST + Rpi"," IMST + Rpi",47.4895,8.73417,457,18.8470388264982
1732,"eui-b827ebfffe1a2ec9","IMST + Rpi"," IMST + Rpi",47.3849,8.49289,405,4.20172280487151
1765,"eui-b827ebfffe241b1f","IMST + Rpi"," IMST + Rpi",47.3853,8.53863,400,1.170824384131
1789,"eui-b827ebfffe2ae5a3","IMST + Rpi"," IMST + Rpi",47.374,8.51717,410,2.28835958746589
1795,"eui-b827ebfffe2c57c6","IMST + Rpi"," IMST + Rpi",47.4379,8.56253,410,6.91506167359282
1846,"eui-b827ebfffe43bd1e",NA,NA,47.3854,8.53858,431,1.18215258773595
1863,"eui-b827ebfffe48538a",NA,NA,47.5104,8.6854,NA,18.1460389716342
1908,"eui-b827ebfffe57dece","IMST + Rpi"," IMST + Rpi",47.396,8.4855,397,5.13131573322269
1910,"eui-b827ebfffe583505",NA,NA,47.495,8.7184,440,18.411735446462
1913,"eui-b827ebfffe586065","IMST + Rpi"," IMST + Rpi",47.3908,8.42433,408,9.39411543694347
1915,"eui-b827ebfffe59cc4f","IMST + Rpi"," IMST + Rpi",47.4126,8.53952,450,4.04927818906095
1921,"eui-b827ebfffe5db969",NA,NA,47.272,8.48222,736,12.6205338059545
1976,"eui-b827ebfffe7581eb","IMST + Rpi"," IMST + Rpi",47.3759,8.48594,380,4.62260891645482
1992,"eui-b827ebfffe7b80cd","IMST + Rpi"," IMST + Rpi",47.3651,8.55042,414,1.29645883012472
2009,"eui-b827ebfffe809215","IMST + Rpi"," IMST + Rpi",47.3853,8.53862,400,1.1712454021817
