"id","device_id","last_online","rx_ok","tx_in","measured_at"
16,16,"2017-09-11 07:59:56",6965,62,"2017-09-11 08:00:00"
3156,16,"2017-09-11 09:00:00",7023,62,"2017-09-11 09:00:00"
6299,16,"2017-09-11 10:00:05",7081,62,"2017-09-11 10:00:00"
9447,16,"2017-09-11 11:00:09",7139,62,"2017-09-11 11:00:00"
12597,16,"2017-09-11 11:59:44",7161,62,"2017-09-11 12:00:00"
15753,16,"2017-09-11 12:59:48",7161,62,"2017-09-11 13:00:00"
18912,16,"2017-09-11 13:59:53",7161,62,"2017-09-11 14:00:00"
22072,16,"2017-09-11 14:59:57",7161,62,"2017-09-11 15:00:00"
25234,16,"2017-09-11 16:00:02",7161,62,"2017-09-11 16:00:00"
28397,16,"2017-09-11 17:00:06",7161,62,"2017-09-11 17:00:00"
31565,16,"2017-09-11 17:59:57",7171,72,"2017-09-11 18:00:00"
34734,16,"2017-09-11 19:00:01",7188,89,"2017-09-11 19:00:00"
37905,16,"2017-09-11 20:00:06",7188,89,"2017-09-11 20:00:00"
41077,16,"2017-09-11 20:59:58",7191,92,"2017-09-11 21:00:00"
44249,16,"2017-09-11 21:59:45",7249,150,"2017-09-11 22:00:00"
47422,16,"2017-09-11 22:59:42",7319,162,"2017-09-11 23:00:00"
50598,16,"2017-09-12 00:00:06",7319,162,"2017-09-12 00:00:00"
53774,16,"2017-09-12 00:59:42",7319,162,"2017-09-12 01:00:00"
56950,16,"2017-09-12 02:00:16",7319,162,"2017-09-12 02:00:00"
60129,16,"2017-09-12 02:59:50",7319,162,"2017-09-12 03:00:00"
63309,16,"2017-09-12 03:59:55",7319,162,"2017-09-12 04:00:00"
66489,16,"2017-09-12 04:59:59",7319,162,"2017-09-12 05:00:00"
69670,16,"2017-09-12 06:00:04",7319,162,"2017-09-12 06:00:00"
72852,16,"2017-09-12 07:00:09",7319,162,"2017-09-12 07:00:00"
76036,16,"2017-09-12 08:00:13",7319,162,"2017-09-12 08:00:00"
79222,16,"2017-09-12 08:59:48",7319,162,"2017-09-12 09:00:00"
82409,16,"2017-09-12 10:59:57",7319,162,"2017-09-12 11:00:00"
85602,16,"2017-09-12 12:00:02",7319,162,"2017-09-12 12:00:00"
88798,16,"2017-09-12 13:00:06",7319,162,"2017-09-12 13:00:00"
91998,16,"2017-09-12 14:00:11",7319,162,"2017-09-12 14:00:00"
95201,16,"2017-09-12 14:59:45",7319,162,"2017-09-12 15:00:00"
98409,16,"2017-09-12 15:59:47",7319,162,"2017-09-12 16:00:00"
101619,16,"2017-09-12 16:59:52",7319,162,"2017-09-12 17:00:00"
104829,16,"2017-09-12 17:59:56",7319,162,"2017-09-12 18:00:00"
108040,16,"2017-09-12 19:00:01",7319,162,"2017-09-12 19:00:00"
111254,16,"2017-09-12 20:00:05",7319,162,"2017-09-12 20:00:00"
114471,16,"2017-09-12 21:00:09",7319,162,"2017-09-12 21:00:00"
117692,16,"2017-09-12 21:59:44",7319,162,"2017-09-12 22:00:00"
120913,16,"2017-09-12 22:59:48",7319,162,"2017-09-12 23:00:00"
124135,16,"2017-09-12 23:59:53",7319,162,"2017-09-13 00:00:00"
